,Symbol,Contract_Type,Product_Name,Asset_Class_Id
292,MTF:SB,Future,Coal (API2) CIF ARA (ARGUS‐McCloskey) Futures,2
294,AA4,Future,Argus LLS Trade Month Futures,2
295,AE5,Future,Argus LLS vs. WTI (Argus) Trade Month Futures,2
296,AE5-AE5,Future,Argus LLS vs. WTI (Argus) Trade Month Futures,2
297,AE5:SA,Future,Argus LLS vs. WTI (Argus) Trade Month Futures,2
298,AE5:SB,Future,Argus LLS vs. WTI (Argus) Trade Month Futures,2
299,BKT,Future,Bakken Cushing (Argus) vs. WTI Trade Month Futures,2
300,BPA,Future,Bakken Patoka (EMDA) Monthly Futures,2
301,DAB,Future,Bakken DAPL (EMDA)  Monthly Futures,2
302,GSW,Future,Guernsey Light Sweet (EMDA)  Monthly Futures,2
303,SCF,Future,Southern Green Canyon (Argus) vs. WTI Financial Futures,2
304,BKF,Future,Bakken Cushing (Argus) vs. WTI Financial Futures,2
305,SCT,Future,Southern Green Canyon (Argus) vs. WTI Trade Month Futures,2
306,37,Future,"Argus Sour Crude Index (""ASCI"") Calendar Month Futures",2
307,29,Future,"Argus Sour Crude Index (""ASCI"") Trade Month Futures",2
308,38,Future,"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Calendar Month Futures",2
309,38-38,Future,"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Calendar Month Futures",2
310,38:SA,Future,"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Calendar Month Futures",2
311,38:SB,Future,"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Calendar Month Futures",2
312,36,Future,"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Trade Month Futures",2
313,39,Future,Argus WTI Formula Basis Calendar Month Futures,2
314,ANT,Future,Argus WTI Diff vs. CMA NYMEX Trade Month Futures,2
315,ANC,Future,Argus WTI Diff vs. CMA NYMEX Calendar Month Futures,2
316,V7,Future,Argus WTI Trade Month Futures,2
317,CY,Future,Brent Financial Futures,2
318,CY-CY,Future,Brent Financial Futures,2
319,CY:SA,Future,Brent Financial Futures,2
320,CY:SB,Future,Brent Financial Futures,2
321,IBS,Future,Brent (Singapore Marker) Futures,2
322,A6W,Future,Dated Brent (Platts) vs. Brent First Month (BFOE) (Platts) Daily CFD Futures,2
323,CFB,Future,Dated Brent (Platts) vs. Brent First Month (BFOE) (Platts) Weekly Futures,2
324,A59,Future,Dated Brent (Platts) vs. Brent Second Month (BFOE) (Platts) Daily CFD Futures,2
325,CFC,Future,Dated Brent (Platts) vs. Brent Second Month (BFOE) (Platts) Weekly Futures,2
326,AJ9,Future,Brent Crude Oil BALMO Futures,2
327,BZ,Future,Brent Crude Oil Last Day Financial Futures,2
328,BZ-BZ,Future,Brent Crude Oil Last Day Financial Futures,2
329,BZ:BF,Future,Brent Crude Oil Last Day Financial Futures,2
330,BZ:SA,Future,Brent Crude Oil Last Day Financial Futures,2
331,BZ-OQD,Future,Brent Crude Oil Last Day Financial Futures,2
332,"BZ:C1 HO my-BZ my, B",Future,Brent Crude Oil Last Day Financial Futures,2
333,BZT,Future,Brent Crude Oil Last Day Financial Futures TAS,2
334,BZT-BZT,Future,Brent Crude Oil Last Day Financial Futures TAS,2
335,BZL,Future,Brent Crude Oil Last Day Financial Futures Trading At Marker (TAM) - London,2
336,BZL-BZL,Future,Brent Crude Oil Last Day Financial Futures Trading At Marker (TAM) - London,2
337,BZS,Future,Brent Crude Oil Last Day Financial Futures Trading At Marker (TAM) - Singapore,2
338,BZS-BZS,Future,Brent Crude Oil Last Day Financial Futures Trading At Marker (TAM) - Singapore,2
339,BB,Future,Brent Crude Oil Penultimate Financial Futures,2
340,BB-BB,Future,Brent Crude Oil Penultimate Financial Futures,2
341,BB:SA,Future,Brent Crude Oil Penultimate Financial Futures,2
342,BB:C1 RB-BB,Future,Brent Crude Oil Penultimate Financial Futures,2
343,BBT,Future,Brent Crude Oil Penultimate Financial Futures TAS,2
344,ADB,Future,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,2
345,BDB,Future,Brent Crude Oil vs. Dubai Crude Oil (Platts) BALMO Futures,2
346,CPD,Future,CPC Blend CIF Med Cargoes (Platts) vs. Dated Brent (Platts) Futures,2
347,CCM,Future,CPC Blend CIF Med Cargoes (Platts) vs. Dated Brent (Platts) BALMO Futures,2
348,WS,Future,Crude Oil Financial Futures,2
349,WS-WS,Future,Crude Oil Financial Futures,2
